id,scores
0,32
1,1000
2,32
3,32
4,1000
5,1000
6,32
7,1000
8,32
9,32
10,513
11,32
12,32
13,32
14,32
15,32
16,32
17,32
18,1000
19,1000
20,739
21,32
22,1000
23,32
24,32
25,32
26,32
27,97
28,32
29,513
30,32
31,550
32,32
33,32
34,32
35,32
36,32
37,32
38,472
39,775
40,32
41,32
42,1000
43,32
44,32
45,1000
46,32
47,210
48,32
49,32
50,32
51,1000
52,662
53,1000
54,1000
55,32
56,32
57,32
58,32
59,1000
60,32
61,32
62,32
63,133
64,32
65,32
66,32
67,32
68,32
69,1000
70,32
71,32
72,32
73,32
74,32
75,32
76,32
77,1000
78,32
79,97
80,32
81,662
82,32
83,323
84,1000
85,32
86,1000
87,32
88,32
89,32
90,32
91,32
92,174
93,1000
94,32
95,1000
96,1000
97,1000
98,32
99,32
